Année,Date,Durée,Lieu,Labo/Structure,Code Thème,Thématique,Formateurice,Public,Nb de personnes formées,Précisions éventuelles
2019,43605,01:30:00,Marseille,CRMBM/institut Fresnel,DR,DR,CSD,EC,3,sensibilisation  - état des lieu DR
2019,43608,01:30:00,Marseille,CRCM,DR,DR,CSD,IST,3,présentation DR
2019,43612,01:00:00,Aix ,LPL,DR,DR,CSD,EC,20,"sensibilisation à la SO, la GDR"
2019,43634,01:00:00,Marseille,Seminaire Millora,DR,DR,CSD,EC,15,table ronde
2019,43662,01:00:00,Marseille,IM2B,DR,DR,CSD,EC,1,présentation DR
2019,43664,02:00:00,Marseille,CIML,DR,DR,CSD,IST,1,sensibilisation CIML Luminy
2019,43717,02:30:00,Aix,SoMuM,DR,DR,CSD,EC,1,Espaces et sociétés en mutation Méditerranée-Afrique - sensibilisation Sylvie Mazzella
2019,43717,02:00:00,Aix,Maison de la recherche,DR,DR,CSD,IST,4,sensibilisation  - état des lieu DR
2019,43773,02:30:00,Marseille,LPED,DR,DR,CSD,EC,15,formation DMP OPIDoR
2019,43781,01:00:00,Aix ,MMSH,DR,DR,CSD,EC,15,intervention DR semaine DATA PUD AMU
2019,43797,01:00:00,Lyon,Enssib,DR,DR,CSD,IST hors AMU,12,intervention enssib DR
2020,43846,02:00:00,Aix,LID2MS,HAL,HAL,IG,EC,1,formation organisée à la demande de Blandine Chelini-Pont pour projet PUAM
2020,43854,02:00:00,Aix,LESA,HAL,HAL,IG,EC,2,formation organisée à la demande du LESA (Natacha Mauric)
2020,43860,01:30:00,Aix,CAER,HAL,HAL,IG,EC,1,formation organisée à la demande d'Estelle Variot
2020,43866,00:30:00,Aix,LESA,HAL,HAL,IG,EC,1,formation organisée à la demande d'Anna Guillo
2020,43866,01:00:00,Aix,LPCPP,HAL,HAL,IG,EC,1,formation organisée à la demande de Delphine Scotto Di Vettimo
2020,43871,02:30:00,Marseille,CERESS,HAL,HAL,IG et JC,EC,6,"formation organisée à la demande de Julie Berbis, aucune demande d'observateur"
2020,43872,01:30:00,Marseille,LNC,HAL,HAL,JC,EC,2,formation organisée à la demande de Mireille Beisson
2020,43873,00:45:00,Aix,GREDIAUC,HAL,HAL,IG,EC,12,formation / réunion en réunion de labo
2020,43878,01:00:00,Aix,LERMA,HAL,HAL,IG,EC,11,formation / réunion axée questions juridiques en réunion de labo à la demande d'Anne Page
2020,43879,01:15:00,Aix,IDEMEC,HAL,HAL,IG,EC,8,"formation en présence de Nicole Isnardon, référente HAL"
2020,43881,01:00:00,Aix,INP,HAL,HAL,IG,EC,1,formation de Nadia Merad
2020,43892,01:00:00,Aix,LPL,DR,DR,CSD,EC,20,sensibilisation GDR et présentation DMP OPIDoR
2020,43892,01:00:00,Aix,LPCPP,HAL,HAL,IG,EC,2,formation individuelle à la demande de Guy Gimenez
2020,43894,01:45:00,Aix,CAER,HAL,HAL,IG,EC,1,formation individuelle à la demande d'Estelle Variot
2020,43896,02:00:00,Marseille,Doctorants,SO,Enjeux de la publication ,MD,D,10,formation en présentiel pour les doctorants en anglais 
2020,43901,02:00:00,visio,ANR,DR,"PGD, DMP OPIDoR",CSD,EC,12,formation aux lauréats ANR 2019
2020,43903,03:00:00,Marseille,"DRV, PUD AMU, jeune chercheur",DR,PGD,CSD,IST,9,DMP OPIDoR
2020,43906,00:45:00,visio,LPCPP,DR,"SO, DR",CSD,EC,1,principes de la SO
2020,43932,02:30:00,Visio,LNC,DR,"GDR, SO",CSD,IST,1,formation de formateur pour accompagner à la SO
2020,43951,05:15:00,visio,doctorants,SO,Enjeux de la publication ,IG,D,6,formations individuelles à distance (total pour avril 2020)
2020,43962,01:00:00,Visio,Institut Favoreu,HAL,HAL,IG,EC,1,formation individuelle à la demande d'Aurélie Duffy
2020,43985,01:15:00,Visio,doctorants,SO,Enjeux de la publication ,MD,D,1,formation individuelle en anglais
2020,43985,01:15:00,Visio,LESA,HAL,HAL,IG,EC,1,formation individuelle à la demande de Gilles Suzanne
2020,43992,00:40:00,visio,LPS,DR,GDR,CSD,EC,1,comment intégrer la GDR à un projet de recherche
2020,43993,02:00:00,visio,ANR,DR,"PGD, DMP OPIDoR",CSD,EC,9,formation aux lauréats ANR 2019
2020,43997,01:30:00,Visio,LPED,HAL,HAL,IG,EC,6,formation en groupe à la demande du LPED
2020,44001,02:00:00,Visio,LPED,HAL,HAL,IG,EC,4,formation en groupe à la demande du LPED
2020,44005,00:30:00,Visio,LPED,HAL,HAL,IG,EC,1,formation individuelle à la demande du LPED - IdHAL et question juridique
2020,44012,09:00:00,Visio,doctorants,SO,Enjeux de la publication ,IG,D,10,formations individuelles à distance (total pour mai 2020)
2020,44022,01:15:00,Visio,LPED,HAL,HAL,IG,EC,2,formation individuelle à la demande du LPED
2020,44075,01:00:00,Aix ,SCD,HAL,HAL,IG,IST,1,"formation individuelle d'Amélie Guardiola, nouvelle collègue au SCD"
2020,44077,01:30:00,Marseille,ProtisValor,DR,Science Ouverte PGD,CSD  ,IST,8,formation d'un labo au DMP et à l'outil DMP OPIDoR
2020,44090,02:00:00,Visio,MIO,DR,"PGD, DMP OPIDoR",CSD,EC,1,PGD
2020,44102,00:45:00,visio,ICR,SO,dépot dossier APP PIA PPR AMR,CSD,EC,1,comment intégrer la SO à un AAP
2020,44116,0.083333333333333329,Visio,doctorants,SO,Enjeux de la publication ,IG,D,3,formations en groupe pour les doctorants 
2020,44145,00:15:00,Visio,CRMBM,HAL,HAL,IG,EC,1,formation individuelle à la demande de Virginie Callot
2020,44151,02:00:00,Visio,IM2NP,HAL,HAL,IG,EC,5,formation individuelle à la demande de la directrice du labo
2020,44154,02:30:00,Visio,formation continue ,SO,SO,CSD et IG,IST,18,"formation organisée avec la Gpeec AMU ""découvrir la SO"""
