,DOI,Dates
0,10.1016/S2468-2667(21)00006-2,
1,10.1364/OE.414972,
2,10.1029/2020MS002107,
3,10.1128/MRA.00297-20 ,
4,10.1038/s41598-021-82420-z,2021-01-29
5,10.1038/s41598-021-83489-2,2021-02-17
6,10.3389/fmed.2021.640073,2021
7,10.3389/fpubh.2020.608765,2021
8,10.1371/journal.pone.0230544,"Dec 30, 2020"
9,10.1186/s12954-021-00460-0,2021/12
10,10.3390/ijerph18010076,2021/1
11,10.3390/microorganisms9010013,2021/1
12,10.3389/fcimb.2021.619081,2021
13,10.1128/MRA.00515-20,
14,10.1038/s41598-021-83236-7,2021-02-12
15,10.5772/intechopen.95450,2021/01/14
16,10.1364/OE.416290,
17,10.339/fimmu.2021.643153,
18,10.3390/biomedicines8120592,2020/12
19,10.1186/s13071-019-3742-y,2019/12
20,10.1371/journal.pcbi.1008629,"Jan 26, 2021"
21,10.1016/j.nmni.2019.100612,
22,10.1016/j.nmni.2019.100642,
23,10.1016/j.idcr.2020.e00899,
24,10.1016/j.nmni.2020.100745,
25,10.1016/j.ijid.2020.08.049,
26,10.1016/j.ijid.2020.09.1417,
27,10.1016/j.nmni.2020.100760,
28,10.1152/jn.00268.2020,
29,10.1038/s41598-020-79922-7,2021-01-12
30,10.1186/s12911-021-01427-8,2021/05
31,10.1128/MRA.01432-20,
32,10.1371/journal.pgen.1009284,"Jan 19, 2021"
33,10.1186/s13099-021-00404-w,2021/12
34,10.1371/journal.pone.0244538,"Dec 31, 2020"
35,10.1038/s41598-021-84641-8,2021-03-08
36,10.1038/s41598-021-83339-1,2021-02-19
37,10.1080/19490976.2021.1884515,
38,10.1182/blood.2020008997,
39,10.3390/pathogens10020240,2021/2
40,10.1016/j.nbd.2020.105235,
41,10.1038/s41598-021-84581-3,2021-03-04
42,10.3390/microorganisms8122018,2020/12
43,10.1128/MRA.00513-20,
44,10.1371/journal.pone.0246192 ,"Feb 18, 2021"
45,10.1371/journal.pcbi.1008726,"Mar 4, 2021"
46,10.1007/s10115-021-01544-w,2021/05
47,10.1186/s12879-021-05895-1,2021/12
48,10.3390/ijerph18052611,2021/1
49,10.3390/microorganisms9020442,2021/2
50,10.1038/s41598-021-85856-5,2021-03-23
51,10.3390/biomedicines9030228,2021/3
52,10.1016/j.nmni.2021.100844,
53,10.1016/j.nmni.2021.100850,
54,10.1371/journal.pcbi.1008689,"Feb 17, 2021"
55,10.1016/j.nmni.2019.100623,
56,10.1073/pnas.2019355118,
57,10.1007/s10579-021-09528-6,2021/09
58,10.1016/j.tmaid.2021.101980,
59,10.1038/s41597-021-00873-3,2021-03-23
